date,open_price,daily_high,daily_low,close_price,trade_volume_millions
2000/07/13,0.000,1.800,1.744,0.000,171.950
2000/07/14,2.145,2.160,2.076,2.131,0.000
2000/07/19,2.075,2.078,2.076,2.044,94.874
2000/07/21,2.145,2.125,2.022,0.000,55.528
2000/07/24,2.053,0.000,1.903,0.000,115.564
2000/07/25,1.837,2.155,1.663,1.881,55.528
2000/07/27,0.000,0.000,2.076,0.000,0.000
2000/07/28,2.145,1.606,1.450,0.000,55.528
2000/08/01,1.531,1.612,1.513,1.513,0.000
2000/08/02,2.145,1.600,2.076,0.000,99.058
2000/08/04,1.597,0.000,2.076,1.625,0.000
2000/08/07,1.600,2.155,2.076,1.691,88.062
2000/08/10,1.575,0.000,1.487,1.522,121.460
2000/08/11,1.525,1.700,2.076,2.130,0.000
2000/08/15,1.731,1.916,0.000,0.000,169.944
2000/08/21,0.000,1.994,0.000,1.875,80.750
2000/08/22,1.906,1.909,2.076,2.130,70.164
2000/08/23,1.819,1.975,0.000,1.941,94.426
2000/08/28,0.000,2.125,0.000,1.956,55.528
2000/08/29,2.145,0.000,1.944,1.981,0.000
2000/08/31,2.156,2.159,0.000,2.075,92.326
2000/09/01,2.106,0.000,2.050,0.000,0.000
2000/09/08,2.203,2.155,2.125,2.130,101.778
2000/09/11,2.131,2.261,0.000,0.000,0.000
2000/09/13,0.000,0.000,0.000,2.122,55.528
2000/09/15,0.000,0.000,2.144,2.130,123.604
2000/09/18,2.175,2.231,0.000,2.141,88.904
2000/09/19,0.000,2.138,2.076,2.037,144.616
2000/09/20,0.000,2.025,1.869,1.875,194.896
2000/09/21,1.872,0.000,0.000,2.003,0.000
2000/10/03,0.000,0.000,1.750,0.000,107.598
2000/10/04,2.145,1.853,1.625,1.800,156.822
2000/10/10,0.000,2.155,0.000,0.000,145.310
2000/10/11,0.000,1.513,1.381,1.391,157.794
2000/10/17,0.000,1.259,0.000,2.130,0.000
2000/10/18,0.000,0.000,0.000,0.000,55.528
2000/10/19,1.328,1.406,0.000,1.388,0.000
2000/10/20,1.384,0.000,1.356,0.000,55.528
2000/10/23,0.000,1.519,1.381,1.500,203.992
2000/10/27,0.000,1.875,1.694,0.000,0.000
2000/10/30,0.000,1.719,0.000,2.130,0.000
2000/10/31,0.000,0.000,0.000,0.000,198.390
2000/11/01,1.791,2.000,0.000,0.000,0.000
2000/11/02,1.903,1.994,2.076,1.987,0.000
2000/11/06,1.928,1.931,0.000,0.000,0.000
2000/11/08,0.000,2.155,1.663,0.000,116.706
2000/11/09,1.634,1.650,0.000,1.562,55.528
2000/11/10,0.000,0.000,0.000,0.000,55.528
2000/11/14,1.438,1.494,0.000,2.130,0.000
2000/11/15,1.431,0.000,0.000,2.130,55.528
2000/11/16,1.434,1.525,1.388,0.000,0.000
2000/11/17,1.400,0.000,1.344,0.000,99.920
2000/11/22,1.194,1.375,0.000,0.000,55.528
2000/11/27,0.000,0.000,1.350,1.400,0.000
2000/11/29,1.256,0.000,0.000,0.000,55.528
2000/11/30,1.237,1.309,1.144,0.000,55.528
2000/12/01,1.247,2.155,1.150,1.231,0.000
2000/12/04,0.000,1.359,0.000,1.328,0.000
2000/12/05,1.356,1.381,0.000,0.000,199.398
2000/12/07,1.153,1.172,0.000,2.130,212.950
2000/12/11,0.000,0.000,0.000,0.000,0.000
2000/12/12,1.225,1.375,0.000,1.294,0.000
2000/12/15,1.112,2.155,1.100,1.144,0.000
2000/12/26,0.816,0.925,0.000,0.000,180.256
2000/12/28,0.831,0.913,0.831,0.869,169.112
2001/01/03,2.145,0.000,0.000,0.878,0.000
2001/01/04,0.850,0.878,2.076,0.000,212.410
2001/01/05,0.775,0.794,0.000,0.000,0.000
2001/01/08,0.000,0.778,0.688,0.000,208.894
2001/01/10,0.792,0.850,0.000,0.825,220.050
2001/01/11,0.788,0.000,0.000,0.850,0.000
2001/01/12,0.000,2.155,0.000,0.884,168.684
2001/01/24,0.000,0.000,0.000,1.094,55.528
2001/01/25,1.084,0.000,0.000,0.950,0.000
2001/01/26,0.000,0.000,0.000,0.000,0.000
2001/01/29,0.000,2.155,0.941,0.000,154.260
2001/01/30,0.000,2.155,0.934,0.000,55.528
2001/01/31,0.000,0.978,0.000,0.000,55.528
2001/02/05,0.731,0.000,0.716,0.000,0.000
2001/02/07,0.759,0.791,0.728,0.750,151.358
2001/02/09,0.000,0.738,0.000,0.669,0.000
2001/02/12,0.706,0.750,0.000,2.130,0.000
2001/02/14,0.706,0.000,0.675,0.000,0.000
2001/02/21,0.000,2.155,0.566,2.130,151.052
2001/02/26,0.603,0.613,2.076,0.000,0.000
2001/02/27,0.591,0.000,0.000,0.587,55.528
2001/02/28,0.562,0.000,0.497,0.000,55.528
2001/03/01,2.145,0.534,0.480,0.522,219.934
2001/03/05,2.145,0.000,0.575,0.631,0.000
2001/03/07,0.597,0.628,2.076,2.130,0.000
2001/03/08,2.145,2.155,0.000,0.000,0.000
2001/03/09,0.572,0.625,0.000,0.613,55.528
2001/03/12,0.000,0.000,0.000,0.000,0.000
2001/03/14,0.512,0.547,0.506,2.130,0.000
2001/03/21,0.000,0.522,0.000,2.130,0.000
2001/03/22,0.000,0.512,0.478,0.509,0.000
2001/03/23,0.528,0.000,0.497,0.509,55.528
2001/03/27,0.546,0.000,0.000,0.582,0.000
2001/03/28,0.555,0.000,0.000,2.130,0.000
2001/04/04,0.000,0.000,0.405,0.000,114.162
2001/04/05,0.000,0.465,2.076,0.456,108.484
2001/04/06,0.000,0.445,0.410,0.000,105.622
2001/04/10,0.562,0.675,0.560,0.000,55.528
2001/04/12,0.652,0.000,0.000,0.734,0.000
2001/04/16,0.000,0.000,0.683,0.701,0.000
2001/04/17,0.691,0.000,0.000,0.737,101.470
2001/04/23,0.820,0.873,0.000,0.810,55.528
2001/04/24,0.000,0.840,0.000,0.000,0.000
2001/04/25,0.000,0.000,0.730,0.000,55.528
2001/04/26,0.000,0.000,0.000,0.771,119.212
2001/05/02,0.000,0.872,0.000,2.130,149.944
2001/05/03,0.841,0.000,0.000,0.837,100.200
2001/05/07,0.868,0.877,2.076,0.846,0.000
2001/05/08,0.814,0.000,2.076,0.000,143.830
2001/05/10,0.770,0.000,0.000,0.000,0.000
2001/05/11,0.728,0.740,0.000,0.000,0.000
2001/05/14,2.145,0.726,0.658,0.000,55.528
2001/05/15,2.145,0.000,0.657,0.677,122.624
2001/05/16,0.673,0.000,0.000,0.000,0.000
2001/05/17,0.705,0.750,0.701,0.000,55.528
2001/05/21,0.748,2.155,0.000,0.000,144.648
2001/05/22,0.000,0.850,0.795,0.812,146.180
2001/05/23,0.810,2.155,0.756,0.780,0.000
2001/05/24,0.785,0.837,0.000,0.000,106.698
2001/05/25,2.145,0.000,0.818,0.854,0.000
2001/05/30,0.827,0.850,0.000,0.000,177.028
2001/05/31,0.000,0.860,2.076,0.835,192.640
2001/06/04,2.145,0.870,0.000,0.000,0.000
2001/06/06,0.000,0.836,0.000,2.130,0.000
2001/06/12,2.145,0.000,0.000,0.732,86.674
2001/06/13,2.145,0.757,0.000,0.000,0.000
2001/06/21,0.634,0.660,0.000,0.654,195.548
2001/06/22,0.656,0.664,0.619,0.000,0.000
2001/06/27,0.691,0.712,0.000,0.000,0.000
2001/06/28,0.000,0.000,0.000,0.718,0.000
2001/06/29,0.000,0.000,0.686,0.707,0.000
2001/07/06,2.145,0.000,0.000,0.000,0.000
2001/07/09,2.145,0.000,0.756,0.000,160.020
2001/07/10,0.804,0.000,2.076,0.780,0.000
2001/07/11,0.771,0.790,0.000,0.767,116.436
2001/07/12,0.785,0.827,0.785,0.000,55.528
2001/07/13,0.000,0.000,0.805,0.000,136.966
2001/07/16,0.847,0.871,2.076,0.800,146.316
2001/07/17,0.000,2.155,0.791,2.130,74.124
2001/07/18,0.000,2.155,0.794,0.798,73.462
2001/07/19,0.000,0.840,0.807,0.825,0.000
2001/07/20,0.826,0.000,0.000,0.849,0.000
2001/07/24,0.681,0.700,0.000,0.000,55.528
2001/07/25,2.145,0.615,0.000,0.000,55.528
2001/07/26,0.000,0.637,0.000,0.617,210.050
2001/07/27,0.617,0.000,0.585,2.130,0.000
2001/07/30,0.000,0.000,2.076,0.627,55.528
2001/07/31,0.632,0.000,0.000,0.624,87.578
2001/08/02,0.000,0.630,0.605,0.609,0.000
2001/08/03,0.612,0.000,2.076,0.000,61.698
2001/08/07,0.595,0.000,0.000,0.580,51.204
2001/08/09,0.000,0.000,0.000,0.523,0.000
2001/08/13,0.000,0.515,0.488,2.130,55.528
2001/08/14,2.145,0.552,0.000,0.000,0.000
2001/08/15,0.527,0.541,2.076,0.504,67.170
2001/08/16,0.000,0.507,0.470,0.491,124.542
2001/08/17,0.475,0.504,0.472,0.500,0.000
2001/08/20,0.510,0.521,0.498,0.000,72.280
2001/08/21,0.535,0.000,2.076,0.000,102.766
2001/08/22,0.508,0.512,0.000,0.000,82.524
2001/08/23,0.507,0.508,0.479,0.000,80.014
2001/08/27,0.000,0.000,0.495,0.507,0.000
2001/08/28,0.506,0.000,0.000,0.498,64.582
2001/08/29,0.502,0.502,0.451,0.460,55.528
2001/09/04,0.447,0.000,0.426,0.000,97.154
2001/09/05,2.145,0.434,2.076,0.382,55.528
2001/09/06,0.392,0.410,0.384,0.407,0.000
2001/09/07,0.398,0.431,0.393,0.426,142.442
2001/09/17,0.000,0.403,0.352,0.000,211.470
2001/09/19,0.368,0.000,0.000,0.366,0.000
2001/09/20,0.356,0.382,0.352,0.374,0.000
2001/09/24,0.385,2.155,0.367,0.000,102.054
2001/09/26,0.360,0.000,0.000,0.000,156.782
2001/09/28,2.145,0.000,0.000,0.000,139.344
2001/10/02,0.308,0.000,0.298,0.000,113.554
2001/10/03,0.308,0.000,0.000,0.000,0.000
2001/10/08,0.354,2.155,0.000,0.356,78.688
2001/10/10,0.000,0.366,0.340,0.000,61.660
2001/10/11,0.377,0.408,0.375,0.393,133.306
2001/10/12,0.388,0.000,2.076,2.130,0.000
2001/10/15,0.000,0.460,0.412,0.000,55.528
2001/10/17,0.499,0.500,2.076,0.446,178.890
2001/10/18,0.445,0.461,0.000,0.000,0.000
2001/10/23,2.145,0.480,0.000,0.477,55.528
2001/10/24,0.403,0.000,0.370,0.000,0.000
2001/10/26,0.000,0.400,0.000,2.130,0.000
2001/10/30,0.000,2.155,0.316,0.000,201.110
2001/11/01,0.000,0.355,0.330,0.000,0.000
2001/11/02,2.145,0.000,0.333,0.000,73.942
2001/11/05,0.000,2.155,2.076,0.350,0.000
2001/11/06,0.354,0.356,2.076,0.352,0.000
2001/11/07,0.350,2.155,0.350,0.371,194.312
2001/11/08,0.383,0.000,0.000,0.349,189.794
2001/11/09,0.352,0.000,0.000,0.356,0.000
2001/11/12,0.358,0.362,0.340,0.000,76.546
2001/11/13,0.372,0.000,2.076,0.364,55.528
2001/11/19,0.468,0.475,0.450,0.460,55.528
2001/11/20,0.000,0.465,0.000,0.000,149.040
2001/11/26,0.491,0.000,0.000,0.610,55.528
2001/11/29,0.595,0.000,0.000,0.000,0.000
2001/12/04,0.547,0.000,0.000,0.000,0.000
2001/12/05,0.620,0.640,0.587,0.000,0.000
2001/12/06,0.602,0.000,0.592,0.605,55.528
2001/12/07,0.614,0.000,0.575,0.586,0.000
2001/12/10,0.577,0.608,0.000,2.130,170.318
2001/12/11,0.000,0.000,0.589,2.130,55.528
2001/12/12,2.145,0.622,0.000,0.595,161.502
2001/12/14,0.000,0.000,0.000,0.000,0.000
2001/12/18,2.145,0.000,0.531,0.543,147.084
2001/12/24,2.145,0.000,0.000,2.130,0.000
2001/12/28,0.000,2.155,0.535,0.000,0.000
2002/01/02,0.000,0.550,0.524,0.000,130.392
2002/01/04,0.601,0.620,0.000,0.000,55.528
2002/01/07,2.145,2.155,0.000,0.000,55.528
2002/01/09,2.145,0.000,0.565,0.000,55.528
2002/01/10,0.583,0.584,0.000,0.000,0.000
2002/01/11,0.552,0.567,0.547,0.000,0.000
2002/01/14,2.145,0.541,0.000,0.506,55.528
2002/01/15,2.145,0.521,2.076,0.515,0.000
2002/01/16,2.145,0.501,0.000,0.000,55.528
2002/01/17,2.145,0.493,0.470,0.487,55.528
2002/01/18,0.480,0.000,0.470,0.000,0.000
2002/01/22,0.637,0.000,0.000,0.000,55.528
2002/01/23,0.624,0.630,0.595,0.000,55.528
2002/01/24,0.637,0.000,0.000,0.701,0.000
2002/01/25,0.000,0.770,0.669,0.000,0.000
2002/01/29,2.145,0.000,2.076,0.711,0.000
2002/01/30,0.699,0.000,0.660,2.130,55.528
2002/02/01,0.000,0.705,0.668,0.687,55.528
2002/02/05,0.599,2.155,0.558,0.575,55.528
2002/02/06,0.595,2.155,0.560,0.000,0.000
2002/02/12,0.000,0.000,0.625,2.130,149.268
2002/02/13,0.655,0.666,0.653,0.664,55.528
2002/02/14,0.000,0.713,0.665,0.694,55.528
2002/02/15,0.000,0.000,0.664,0.670,145.308
2002/02/19,0.000,0.692,0.640,0.650,0.000
2002/02/20,0.000,0.000,0.608,0.000,160.322
2002/02/21,0.646,0.683,0.000,0.663,0.000
2002/02/22,0.652,0.000,0.000,0.000,157.308
2002/02/25,2.145,0.687,0.650,0.687,0.000
2002/03/01,0.706,2.155,0.000,0.770,0.000
2002/03/04,0.771,0.825,0.000,0.824,55.528
2002/03/07,0.000,0.848,0.770,0.000,0.000
2002/03/11,0.000,0.844,0.793,0.836,0.000
2002/03/12,0.000,0.830,0.802,2.130,55.528
2002/03/13,0.803,2.155,0.782,0.000,0.000
2002/03/18,0.000,2.155,2.076,2.130,0.000
2002/03/20,0.000,0.000,0.000,0.000,0.000
2002/03/21,0.731,0.762,0.728,0.758,0.000
2002/03/22,0.000,0.780,0.000,0.776,55.528
2002/03/25,0.774,0.000,0.000,0.737,0.000
2002/04/02,0.732,0.000,2.076,2.130,95.428
2002/04/03,0.000,0.723,0.680,0.000,0.000
2002/04/04,0.000,2.155,0.661,0.677,55.528
2002/04/05,2.145,0.702,0.000,0.675,90.000
2002/04/08,0.649,0.698,0.648,0.697,0.000
2002/04/12,2.145,0.000,0.000,0.000,107.582
2002/04/15,2.145,0.000,2.076,0.695,0.000
2002/04/16,0.000,0.715,2.076,0.000,73.620
2002/04/18,2.145,2.155,2.076,0.713,0.000
2002/04/19,0.000,2.155,0.707,0.000,0.000
2002/04/24,0.762,0.842,0.000,0.000,0.000
2002/04/30,0.000,0.000,2.076,0.835,0.000
2002/05/01,0.000,2.155,0.000,0.000,55.528
2002/05/02,0.822,0.832,0.812,0.816,0.000
2002/05/03,0.000,0.820,0.788,0.000,55.528
2002/05/08,0.827,0.873,0.000,0.000,0.000
2002/05/09,0.856,0.000,0.855,0.887,220.046
2002/05/10,0.000,0.000,0.840,0.000,0.000
2002/05/16,0.000,2.155,0.000,0.980,0.000
2002/05/22,0.000,0.956,0.000,0.000,101.504
2002/05/28,0.979,2.155,0.000,0.000,79.066
2002/05/30,2.145,2.155,0.904,0.919,0.000
2002/05/31,0.000,0.000,0.910,2.130,55.528
2002/06/03,0.915,0.000,0.000,0.898,0.000
2002/06/06,0.000,0.920,0.888,0.909,105.000
2002/06/10,0.000,0.000,0.000,0.000,0.000
2002/06/11,0.865,0.000,0.000,0.857,110.416
2002/06/12,0.000,0.858,0.813,0.000,0.000
2002/06/21,2.145,2.155,0.867,0.877,103.536
2002/06/25,0.845,0.000,0.000,0.000,0.000
2002/06/26,2.145,0.000,0.734,0.000,165.444
2002/06/27,0.000,0.823,0.765,0.793,0.000
2002/07/01,2.145,0.808,0.676,0.678,0.000
2002/07/02,0.680,0.708,0.650,0.000,0.000
2002/07/03,2.145,0.723,0.000,2.130,154.074
2002/07/05,0.000,0.762,0.000,0.000,55.528
2002/07/08,0.748,0.000,0.734,0.747,0.000
2002/07/11,2.145,0.000,0.700,0.777,146.342
2002/07/16,0.785,0.854,2.076,0.814,215.814
2002/07/17,0.842,0.858,0.000,0.808,0.000
2002/07/18,0.000,0.000,0.000,0.777,55.528
2002/07/24,0.000,0.000,0.613,0.000,0.000
2002/07/25,0.686,0.701,0.620,0.624,187.204
2002/07/26,2.145,0.000,0.625,0.000,0.000
2002/07/29,2.145,0.000,0.000,0.716,0.000
2002/07/30,0.000,2.155,0.704,0.738,0.000
2002/08/05,2.145,0.689,0.639,0.000,0.000
2002/08/09,2.145,0.000,0.000,0.000,0.000
2002/08/12,0.000,0.725,0.000,2.130,70.066
2002/08/13,0.000,0.000,0.695,0.000,104.688
2002/08/14,0.697,0.000,0.000,2.130,138.704
2002/08/21,0.798,0.000,2.076,0.769,145.684
2002/08/28,0.000,0.748,0.000,0.729,55.528
2002/08/29,0.721,0.760,0.711,0.000,55.528
2002/08/30,0.746,0.769,0.738,0.747,68.794
2002/09/04,0.733,0.748,0.713,0.000,0.000
2002/09/06,0.728,0.000,0.000,2.130,0.000
2002/09/09,0.756,0.000,2.076,0.000,0.000
2002/09/10,0.000,0.868,0.821,0.857,55.528
2002/09/11,0.000,0.000,2.076,0.855,0.000
2002/09/16,0.000,0.000,0.000,0.000,59.250
2002/09/18,0.861,0.000,0.000,0.887,0.000
2002/09/19,0.870,0.882,0.000,2.130,55.528
2002/09/23,0.780,2.155,0.780,0.803,148.090
2002/09/30,0.000,0.842,0.793,0.797,55.528
2002/10/01,0.000,0.853,0.800,2.130,55.528
2002/10/04,0.000,0.858,0.819,0.827,0.000
2002/10/07,2.145,0.000,0.818,0.832,0.000
2002/10/08,0.844,0.853,0.823,0.000,0.000
2002/10/09,0.835,0.000,2.076,2.130,0.000
2002/10/10,0.858,0.899,0.858,0.898,0.000
2002/10/11,0.000,0.937,0.000,0.000,192.570
2002/10/14,0.000,0.000,0.000,0.960,0.000
2002/10/15,0.000,1.007,0.000,0.947,0.000
2002/10/16,0.000,2.155,0.913,0.975,55.528
2002/10/17,1.005,1.011,2.076,0.000,55.528
2002/10/22,0.000,0.996,0.000,0.969,0.000
2002/10/23,0.976,0.991,0.969,0.988,55.528
2002/10/24,0.998,0.000,0.000,0.993,0.000
2002/10/25,0.942,0.000,2.076,0.000,0.000
2002/10/28,0.964,0.987,0.920,0.929,0.000
2002/10/29,0.925,0.946,0.904,0.000,0.000
2002/10/30,0.000,0.961,0.924,0.954,0.000
2002/11/04,0.970,0.000,0.000,0.939,0.000
2002/11/05,2.145,0.000,0.000,0.936,55.528
2002/11/11,0.000,0.000,0.000,0.950,114.992
2002/11/12,2.145,2.155,0.951,0.991,209.244
2002/11/14,0.000,1.074,0.000,1.061,55.528
2002/11/15,0.000,0.000,1.054,0.000,0.000
2002/11/20,1.067,1.150,1.061,1.145,0.000
2002/11/21,1.166,1.192,0.000,0.000,0.000
2002/11/22,1.160,0.000,1.155,0.000,0.000
2002/11/25,1.202,1.225,1.191,0.000,0.000
2002/11/26,2.145,1.210,0.000,2.130,128.116
2002/11/27,0.000,0.000,1.186,0.000,55.528
2002/11/29,1.207,1.219,1.166,0.000,0.000
2002/12/02,0.000,1.250,0.000,1.206,0.000
2002/12/06,2.145,1.135,0.000,2.130,55.528
2002/12/09,2.145,1.117,1.080,0.000,0.000
2002/12/10,0.000,1.099,0.000,0.000,55.528
2002/12/11,1.084,1.119,0.000,1.107,127.746
2002/12/13,2.145,1.117,1.094,2.130,77.184
2002/12/17,0.000,1.128,1.116,2.130,0.000
2002/12/19,1.082,2.155,1.077,2.130,116.288
2002/12/20,1.089,1.100,1.080,1.097,0.000
2002/12/23,1.089,2.155,0.000,0.000,55.528
2002/12/24,0.000,0.000,2.076,2.130,46.972
2002/12/26,2.145,2.155,0.000,1.015,55.528
2002/12/27,0.998,1.005,0.922,0.943,55.528
2002/12/30,0.000,0.000,0.000,2.130,165.694
2002/12/31,2.145,0.000,0.942,0.000,110.740
2003/01/02,0.960,2.155,0.928,0.000,129.680
2003/01/03,0.979,0.000,0.970,1.026,55.528
2003/01/06,2.145,1.059,1.015,0.000,153.962
2003/01/07,1.041,2.155,0.000,2.130,0.000
2003/01/09,1.054,1.085,1.045,0.000,123.096
2003/01/10,1.048,0.000,2.076,1.066,151.586
2003/01/13,1.066,0.000,1.062,1.102,55.528
2003/01/16,1.084,0.000,2.076,1.090,55.528
2003/01/17,0.000,0.000,0.000,1.070,115.724
2003/01/21,1.062,1.081,1.018,0.000,0.000
2003/01/28,0.000,1.099,0.000,1.081,55.528
2003/01/31,1.082,0.000,0.000,0.000,125.250
2003/02/03,0.000,2.155,0.000,1.108,103.910
2003/02/06,1.108,0.000,1.097,0.000,0.000
2003/02/07,0.000,1.105,1.060,1.072,0.000
2003/02/10,2.145,1.071,0.000,1.070,0.000
2003/02/11,0.000,1.080,0.000,1.039,133.580
2003/02/13,1.048,0.000,0.980,0.000,55.528
2003/02/14,0.999,0.000,0.000,1.003,0.000
2003/02/20,1.059,1.075,0.000,2.130,83.396
2003/02/24,0.000,0.000,0.000,1.089,138.732
2003/02/27,1.083,1.089,0.000,0.000,0.000
2003/02/28,1.079,0.000,1.071,0.000,0.000
2003/03/03,2.145,0.000,0.000,0.000,0.000
2003/03/04,0.000,0.000,1.068,0.000,108.686
2003/03/05,0.000,1.131,1.101,0.000,55.528
2003/03/06,0.000,0.000,1.106,0.000,0.000
2003/03/07,0.000,1.152,1.113,0.000,116.968
2003/03/11,1.138,1.146,1.125,2.130,0.000
2003/03/14,0.000,1.245,0.000,2.130,0.000
2003/03/17,1.224,1.342,0.000,1.327,0.000
2003/03/19,0.000,1.334,2.076,1.327,0.000
2003/03/20,0.000,1.382,1.306,0.000,55.528
2003/03/21,0.000,1.398,1.352,0.000,0.000
2003/03/25,1.312,1.355,0.000,1.345,0.000
2003/03/26,2.145,1.393,0.000,0.000,0.000
2003/03/27,0.000,1.402,1.372,1.388,0.000
2003/03/28,0.000,1.398,0.000,2.130,0.000
2003/03/31,1.329,0.000,1.298,2.130,184.296
2003/04/01,0.000,0.000,1.253,1.277,55.528
2003/04/02,0.000,0.000,1.292,2.130,132.460
2003/04/04,1.336,1.342,1.298,1.311,121.456
2003/04/08,0.000,2.155,0.000,2.130,0.000
2003/04/11,0.000,2.155,1.271,1.288,137.980
2003/04/14,1.240,1.258,1.225,0.000,0.000
2003/04/16,0.000,1.275,1.207,1.219,0.000
2003/04/21,0.000,2.155,1.245,1.263,142.646
2003/04/22,0.000,0.000,1.241,0.000,137.372
2003/04/23,1.320,1.327,2.076,0.000,177.002
2003/04/24,1.270,0.000,0.000,0.000,0.000
2003/05/01,1.434,0.000,2.076,2.130,0.000
2003/05/02,0.000,1.472,1.428,1.472,197.688
2003/05/05,1.474,1.503,1.451,1.498,55.528
2003/05/07,1.533,0.000,0.000,0.000,207.036
2003/05/08,0.000,0.000,0.000,1.523,55.528
2003/05/09,1.523,2.155,2.076,0.000,0.000
2003/05/12,1.541,1.590,0.000,1.585,144.938
2003/05/13,1.577,1.674,1.572,0.000,55.528
2003/05/14,1.657,0.000,1.622,0.000,159.864
2003/05/15,0.000,1.638,0.000,2.130,55.528
2003/05/16,1.625,1.658,1.619,1.653,152.882
2003/05/19,0.000,0.000,0.000,0.000,195.270
2003/05/20,0.000,0.000,0.000,0.000,161.324
2003/05/22,0.000,0.000,0.000,0.000,169.798
2003/05/27,1.628,1.752,1.622,1.742,55.528
2003/05/29,0.000,1.798,1.735,1.778,0.000
2003/06/02,0.000,1.834,0.000,1.770,55.528
2003/06/03,2.145,1.765,0.000,1.762,201.918
2003/06/09,1.724,0.000,1.654,2.130,55.528
2003/06/12,2.145,1.770,1.735,1.760,0.000
2003/06/13,0.000,0.000,1.702,1.707,0.000
2003/06/19,1.790,0.000,0.000,1.775,119.762
2003/06/20,2.145,0.000,0.000,1.752,0.000
2003/06/24,2.145,0.000,2.076,1.770,0.000
2003/06/25,0.000,0.000,1.758,0.000,133.180
2003/06/26,2.145,1.842,2.076,0.000,0.000
2003/06/27,0.000,0.000,1.809,1.815,135.130
2003/06/30,0.000,0.000,1.801,1.816,102.878
2003/07/03,2.145,1.908,0.000,1.896,76.920
